AAAA;TRIMESTRE;DEPARTAMENTO;PIB_COLOMBIA_ANUAL;PIB_COLOMBIA_TRIMESTRAL;PIB_DEPARTAMENTO_ANUAL;APORTE;PIB_DEPARTAMENTAL_TRIMESTRAL
2010;3;magdalena;640151.0;160000.0;9138.294165773621;0.014275216575110593;2284.034652017695
2010;4;magdalena;640151.0;176000.0;9138.294165773621;0.014275216575110593;2512.4381172194644
2010;1;meta;640151.0;148000.0;21269.755617411487;0.033226153856529925;4917.470770766429
2010;2;meta;640151.0;156000.0;21269.755617411487;0.033226153856529925;5183.280001618668
2010;3;meta;640151.0;160000.0;21269.755617411487;0.033226153856529925;5316.184617044788
2010;4;meta;640151.0;176000.0;21269.755617411487;0.033226153856529925;5847.803078749267
2010;1;nariño;640151.0;148000.0;9259.411637378087;0.014464417984784976;2140.7338617481764
2010;2;nariño;640151.0;156000.0;9259.411637378087;0.014464417984784976;2256.449205626456
2010;3;nariño;640151.0;160000.0;9259.411637378087;0.014464417984784976;2314.306877565596
2010;4;nariño;640151.0;176000.0;9259.411637378087;0.014464417984784976;2545.7375653221557
2010;1;norte de santander;640151.0;148000.0;10706.444650889329;0.016724873742116047;2475.281313833175
2010;2;norte de santander;640151.0;156000.0;10706.444650889329;0.016724873742116047;2609.0803037701035
2010;3;norte de santander;640151.0;160000.0;10706.444650889329;0.016724873742116047;2675.9797987385673
2010;4;norte de santander;640151.0;176000.0;10706.444650889329;0.016724873742116047;2943.5777786124245
2010;1;putumayo;640151.0;148000.0;2819.3750903442765;0.004404234454596301;651.8266992802525
2010;2;putumayo;640151.0;156000.0;2819.3750903442765;0.004404234454596301;687.0605749170229
2010;3;putumayo;640151.0;160000.0;2819.3750903442765;0.004404234454596301;704.6775127354081
2010;4;putumayo;640151.0;176000.0;2819.3750903442765;0.004404234454596301;775.1452640089489
2010;1;quindío;640151.0;148000.0;5103.625939220887;0.007972534510171643;1179.935107505403
2010;2;quindío;640151.0;156000.0;5103.625939220887;0.007972534510171643;1243.7153835867762
2010;3;quindío;640151.0;160000.0;5103.625939220887;0.007972534510171643;1275.6055216274628
2010;4;quindío;640151.0;176000.0;5103.625939220887;0.007972534510171643;1403.166073790209
2010;1;risaralda;640151.0;148000.0;10503.061453880591;0.016407162456796274;2428.2600436058488
2010;2;risaralda;640151.0;156000.0;10503.061453880591;0.016407162456796274;2559.5173432602187
2010;3;risaralda;640151.0;160000.0;10503.061453880591;0.016407162456796274;2625.145993087404
